name,                                                                                 tag,           code,       description
blake2b-400,                                                                          multihash,     0x00b232,
blake2b-408,                                                                          multihash,     0x00b233,
blake2b-416,                                                                          multihash,     0x00b234,
blake2b-424,                                                                          multihash,     0x00b235,
blake2b-432,                                                                          multihash,     0x00b236,
blake2b-440,                                                                          multihash,     0x00b237,
blake2b-448,                                                                          multihash,     0x00b238,
blake2b-456,                                                                          multihash,     0x00b239,
blake2b-464,                                                                          multihash,     0x00b23a,
blake2b-472,                                                                          multihash,     0x00b23b,
blake2b-480,                                                                          multihash,     0x00b23c,
blake2b-488,                                                                          multihash,     0x00b23d,
blake2b-496,                                                                          multihash,     0x00b23e,
blake2b-504,                                                                          multihash,     0x00b23f,
blake2b-512,                                                                          multihash,     0x00b240,
blake2s-8,                                                                            multihash,     0x00b241,     Blake2s consists of 32 output lengths that give different hashes
blake2s-16,                                                                           multihash,     0x00b242,
blake2s-24,                                                                           multihash,     0x00b243,
blake2s-32,                                                                           multihash,     0x00b244,
blake2s-40,                                                                           multihash,     0x00b245,
blake2s-48,                                                                           multihash,     0x00b246,
blake2s-56,                                                                           multihash,     0x00b247,
blake2s-64,                                                                           multihash,     0x00b248,
blake2s-72,                                                                           multihash,     0x00b249,
blake2s-80,                                                                           multihash,     0x00b24a,
blake2s-88,                                                                           multihash,     0x00b24b,
blake2s-96,                                                                           multihash,     0x00b24c,
blake2s-104,                                                                          multihash,     0x00b24d,
blake2s-112,                                                                          multihash,     0x00b24e,
blake2s-120,                                                                          multihash,     0x00b24f,
blake2s-128,                                                                          multihash,     0x00b250,
blake2s-136,                                                                          multihash,     0x00b251,
blake2s-144,                                                                          multihash,     0x00b252,
blake2s-152,                                                                          multihash,     0x00b253,
blake2s-160,                                                                          multihash,     0x00b254,
blake2s-168,                                                                          multihash,     0x00b255,
blake2s-176,                                                                          multihash,     0x00b256,
blake2s-184,                                                                          multihash,     0x00b257,
blake2s-192,                                                                          multihash,     0x00b258,
blake2s-200,                                                                          multihash,     0x00b259,
blake2s-208,                                                                          multihash,     0x00b25a,
blake2s-216,                                                                          multihash,     0x00b25b,
